,AIDA_WW_UCAW_LA_18062021.,Getting travel insurance:AIDA_WW_CAW_CB_07062021,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums:AIDA_WW_CAW_CB_07062021",Renting a car:AIDA_WW_CAW_CB_07062021,Hiring a tour guide:AIDA_WW_CAW_CB_07062021,Finding a 5* hotel:AIDA_WW_CAW_CB_07062021,Finding free accommodation via couch surfing website:AIDA_WW_CAW_CB_07062021,Buying a weekly ticket for public transport:AIDA_WW_CAW_CB_07062021,Getting free advice/maps from the local tourist organization:AIDA_WW_CAW_CB_07062021,Renting a bike from the street (public bicycle scheme):AIDA_WW_CAW_CB_07062021,Walking into the mayor’s office for a quick catch up:AIDA_WW_CAW_CB_07062021,AIDA_WW_UUBA_TB_18062021 ,Go City:AIDA_WW_ABA_IMS_07062021,CityPass:AIDA_WW_ABA_IMS_07062021,The Sightseeing Pass:AIDA_WW_ABA_IMS_07062021,iVenture Card:AIDA_WW_ABA_IMS_07062021,Turbopass:AIDA_WW_ABA_IMS_07062021,The New York Pass:AIDA_WW_ABA_IMS_07062021,Hopper Pass:AIDA_WW_ABA_IMS_07062021,Tour Pass:AIDA_WW_ABA_IMS_07062021,Zipper Pass:AIDA_WW_ABA_IMS_07062021,Go Las Vegas:AIDA_WW_ABA_IMS_07062021,Go Oahu:AIDA_WW_ABA_IMS_07062021,AIDA_WW_AWS_RB_14062021,Other:AIDA_WW_AWS_RB_14062021,Go City :AIDA_WW_BEX_CB_16082021,City Pass :AIDA_WW_BEX_CB_16082021,The Sightseeing Pass :AIDA_WW_BEX_CB_16082021,iVenture Card :AIDA_WW_BEX_CB_16082021,Turbopass :AIDA_WW_BEX_CB_16082021,The New York Pass :AIDA_WW_BEX_CB_16082021,Go City:AIDA_WW_BSAT_RBG_07062021,CityPass:AIDA_WW_BSAT_RBG_07062021,The Sightseeing Pass:AIDA_WW_BSAT_RBG_07062021,iVentureCard:AIDA_WW_BSAT_RBG_07062021,Turbopass:AIDA_WW_BSAT_RBG_07062021,The New York Pass:AIDA_WW_BSAT_RBG_07062021,Go City:AIDA_WW_BCON_RBG_07062021,CityPass:AIDA_WW_BCON_RBG_07062021,The Sightseeing Pass:AIDA_WW_BCON_RBG_07062021,iVenture Card:AIDA_WW_BCON_RBG_07062021,Turbopass:AIDA_WW_BCON_RBG_07062021,The New York Pass:AIDA_WW_BCON_RBG_07062021,AIDA_WW_PURCHI_RB_07062021,AIDA_WW_UCAW_LA_18062021._clean,AIDA_WW_UUBA_TB_18062021 _clean,AIDA_WW_UBA_TB_07062021_clean,I own a valid passport:SBEH_US_PASS_CB_07062021,I plan a leisure trip within the USA in the next two years:SBEH_US_PASS_CB_07062021,I plan a leisure trip abroad in the next two years:SBEH_US_PASS_CB_07062021,Boston:SBEH_US_TRINTUS_CB_14062021.,Chicago:SBEH_US_TRINTUS_CB_14062021.,Las Vegas:SBEH_US_TRINTUS_CB_14062021.,Los Angeles:SBEH_US_TRINTUS_CB_14062021.,Miami:SBEH_US_TRINTUS_CB_14062021.,New Orleans:SBEH_US_TRINTUS_CB_14062021.,New York:SBEH_US_TRINTUS_CB_14062021.,Oahu:SBEH_US_TRINTUS_CB_14062021.,Orlando:SBEH_US_TRINTUS_CB_14062021.,Philadelphia:SBEH_US_TRINTUS_CB_14062021.,San Antonio:SBEH_US_TRINTUS_CB_14062021.,San Diego:SBEH_US_TRINTUS_CB_14062021.,San Francisco:SBEH_US_TRINTUS_CB_14062021.,Washington DC:SBEH_US_TRINTUS_CB_14062021.,Bangkok:SBEH_US_TRINTWW_CB_14062021,Dubai:SBEH_US_TRINTWW_CB_14062021,Hong Kong:SBEH_US_TRINTWW_CB_14062021,Shanghai:SBEH_US_TRINTWW_CB_14062021,Singapore:SBEH_US_TRINTWW_CB_14062021,Cancun:SBEH_US_TRINTWW_CB_14062021,Barcelona:SBEH_US_TRINTWW_CB_14062021,Berlin:SBEH_US_TRINTWW_CB_14062021,Dublin:SBEH_US_TRINTWW_CB_14062021,Gothenburg:SBEH_US_TRINTWW_CB_14062021,Helsinki:SBEH_US_TRINTWW_CB_14062021,London:SBEH_US_TRINTWW_CB_14062021,Madrid:SBEH_US_TRINTWW_CB_14062021,Paris:SBEH_US_TRINTWW_CB_14062021,Rome:SBEH_US_TRINTWW_CB_14062021,Stockholm:SBEH_US_TRINTWW_CB_14062021,Vienna:SBEH_US_TRINTWW_CB_14062021,SBEH_WW_TRFREQ_RB_07062021,SBEH_WW_AVTRIP_RB_07062021,Beach or seaside resort:SBEH_WW_DESTTYPE_CB_07062021,Mountain or alpine resort:SBEH_WW_DESTTYPE_CB_07062021,City or Metropolis:SBEH_WW_DESTTYPE_CB_07062021,Culturally/Spiritually significant place:SBEH_WW_DESTTYPE_CB_07062021,Rural or countryside locales:SBEH_WW_DESTTYPE_CB_07062021,Niche or extreme destinations (e.g. Antarctica):SBEH_WW_DESTTYPE_CB_07062021,Something else:SBEH_WW_DESTTYPE_CB_07062021,Hotel:SBEH_WW_STAYTYPE_CB_07062021,Luxury resort:SBEH_WW_STAYTYPE_CB_07062021,Airbnb / privately rented accommodations:SBEH_WW_STAYTYPE_CB_07062021,Youth hostel:SBEH_WW_STAYTYPE_CB_07062021,Relative or friend’s house:SBEH_WW_STAYTYPE_CB_07062021,Campsite:SBEH_WW_STAYTYPE_CB_07062021,Somewhere else:SBEH_WW_STAYTYPE_CB_07062021
205,"I would prebook a hotel, a flight and food reservations",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,NoAnswer,NoAnswer,Finding free accommodation via couch surfing website,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Apple,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,The New York Pass,"i would prebook a hotel, a flight and food reservations",apple,booking.com,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
206,"flight, hotel, car",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,NoAnswer,Renting a bike from the street (public bicycle scheme),NoAnswer,i don't know ,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"flight, hotel, car",i don't know ,disney ,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,4 days or fewer,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
207,Not sure never really thought about things,NoAnswer,NoAnswer,Renting a car,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,TripAdvisor,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not sure never really thought about things,tripadvisor,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
208,"Attractions, tickets, reservations, lodging",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,NoAnswer,Renting a bike from the street (public bicycle scheme),NoAnswer,"Expedia, Ticketmaster ",NoAnswer,CityPass,NoAnswer,iVenture Card,NoAnswer,The New York Pass,NoAnswer,NoAnswer,Zipper Pass,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,Somewhat likely,NoAnswer,Neither likely nor unlikely,NoAnswer,Somewhat likely,not shown,"attractions, tickets, reservations, lodging","expedia, ticketmaster ",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,Chicago,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,San Francisco,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Cancun,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,4 days or fewer,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Campsite,NoAnswer
209,I would consider to go to a destination spot like Walt Disney world ,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Expedia  Yelp,NoAnswer,CityPass,The Sightseeing Pass,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,The Sightseeing Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,Very likely,NoAnswer,NoAnswer,Somewhat likely,The Sightseeing Pass,i would consider to go to a destination spot like walt disney world ,expedia  yelp,expedia  travel.com,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Washington DC,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
210,"I would buy my tickets, hotel room, and rental car in advance. I would also check for shows I may really want to see at the time and potentially buy tickets for a show too.",Getting travel insurance,NoAnswer,Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"I'm not sure, I'd take time to research it. ",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"i would buy my tickets, hotel room, and rental car in advance. i would also check for shows i may really want to see at the time and potentially buy tickets for a show too.","i'm not sure, i'd take time to research it. ",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,Chicago,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,4 days or fewer,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
211,Hotel plane tickets car rental ,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Travel agent ,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,hotel plane tickets car rental ,travel agent ,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,2 weeks or more,Beach or seaside resort,Mountain or alpine resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
212,"I'd reserve a room. I book places like Hoover dam, shows, a ride",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Trio advisor, states commerce site, Expedia, hoels.com teckets.com",NoAnswer,NoAnswer,NoAnswer,NoAnswer,Turbopass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very likely,NoAnswer,Turbopass,"i'd reserve a room. i book places like hoover dam, shows, a ride","trio advisor, states commerce site, expedia, hoels.com teckets.com",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
213,I would prebook my flights and hotel(s). Possibly transportation... Or any special ticket events.,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"United Airways, ",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,i would prebook my flights and hotel(s). possibly transportation... or any special ticket events.,"united airways, ",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,5-6 days,NoAnswer,NoAnswer,City or Metropolis,Culturally/Spiritually significant place,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
214,"Airline, hotel, bus or taxi",NoAnswer,NoAnswer,Renting a car,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"Eastern Airlines, Delta Airlines, American Airlines, Hilton Hotels, Marriott Hotels",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"airline, hotel, bus or taxi","eastern airlines, delta airlines, american airlines, hilton hotels, marriott hotels",NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,4 days or fewer,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,Something else,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
215,I would reserve seats at a Broadway play in new York.,NoAnswer,NoAnswer,Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,Tripadvisor,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,i would reserve seats at a broadway play in new york.,tripadvisor,NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,Boston,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
216,London i would prebook flight and prebook hotel prebook sights too see,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,NoAnswer,Finding a 5* hotel,Finding free accommodation via couch surfing website,Buying a weekly ticket for public transport,NoAnswer,NoAnswer,NoAnswer,Kayak,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,london i would prebook flight and prebook hotel prebook sights too see,kayak,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,4 days or fewer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
217,"My flight, my hotel, and many of the different tourists activities and special monuments or theater reservations",Getting travel insurance,NoAnswer,Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"travelocity,trivago,Travelocity,,hotels.com",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"my flight, my hotel, and many of the different tourists activities and special monuments or theater reservations","travelocity,trivago,travelocity,,hotels.com",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,4 days or fewer,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
218,Obviously I'd book my flight and hotel room.  I'd also reserve a taxi or Uber to transport me to my hotel,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"American Airlines, Marriott, Booking.com",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,obviously i'd book my flight and hotel room.  i'd also reserve a taxi or uber to transport me to my hotel,"american airlines, marriott, booking.com",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhere else
219,"Planw tickets, hotel stay ",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Expedia, travelocity",NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,Very likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Citypass,"planw tickets, hotel stay ","expedia, travelocity",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,Chicago,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,Between 1 and 2 weeks,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
220,"Plane ticket, passport, hotel, car rental",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Expedia, cheapoair",NoAnswer,NoAnswer,NoAnswer,NoAnswer,Turbopass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very likely,NoAnswer,Turbopass,"plane ticket, passport, hotel, car rental","expedia, cheapoair",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,New Orleans,New York,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Dubai,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,Between 1 and 2 weeks,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
